,SVM,SGD,RandomForest,NaiveBayes
SVM,1.0,0.07363827012030255,0.023342202012890834,0.6170750774519739
SGD,0.07363827012030255,1.0,0.47950012218695337,0.07363827012030255
RandomForest,0.023342202012890834,0.47950012218695337,1.0,0.023342202012890834
NaiveBayes,0.6170750774519739,0.07363827012030255,0.023342202012890834,1.0
